zolai	english	translations	cefr	example
arkhi	hushai	hushai | borders | worshipped | archite	A1	Ahithofel in kumpipa’ thu-lamlakpa hi
arki	arkite	arkite | hivite | sinite	A1	Hiv mite, Arki mite, Sin mite,
arnon	moab	moab | aroer | arnon | wars	A1	Tua ahih manin Topa’ Gal Laibu sungah
arod	family	family | arod | arodites | areli	A1	Arod pan Arod behte ahi uh hi; Areli pan Areli
arodi	ezbon	ezbon | haggi | shuni | eri	A1	Gad’ tapate: Zifion, Haggi, Shuni, Ezbon, Eri, Arodi, leh Areli ahi hi.
aroer	aroer	aroer | river | gilead | city	A1	Gad minamte in khuapi muanhuai Dibon, Ataroth, Aroer,
arpakshad	arphaxad	arphaxad | asshur | years | shem	A1	Shem’ tapate: Elam, Asshur, Arpakshad, Lud, leh Aram ahi hi.
arvad	arvadite	arvadite | zidon | men | zemarite	A1	Arvad mite, Zemari mite, leh Hamath mite’ pian’napa ahi hi.
asau	judgment	judgment | unrighteousness | meteyard | weight	A1	atam tehnate ah a man loin na gamta kei ding uh hi.
asenath	poti	poti | daughter | asenath | phera	A1	Josef in Egypt gamah On khua siampipa Potifera' tanu Asenath
ash	inheritance	inheritance | hiddai | brooks | gaash	A1	Ga-ash mualkuam mi Hurai, Betharabah khuami Abiel,
ashan	ashan	ashan | ether | ain | rimmon	A1	Tua ciangin amau' khuate Etam, Ain, Rimmon, Tokhen, leh Ashan, khuapi nga,
ashbel	ashbel	ashbel | second | family | bela	A1	Benjamin in a tacil Bela, a nihna Ashbel, a thumna Aharah,
ashdod	ashdod	ashdod | gath | gazites | lay	A1	Tua hun lai mahin zong Judah mite in Ashdod numei
asher	asher	asher | tribe | sons | issachar	A1	Asher’ sung panin Okran’ tapa Pagiel;
asherah	cut	cut | down | made | mother	A1	Nangmah in amau' biakna taute phelin
ashkelon	ashkelon	ashkelon | gazites | spirit | trespass	A1	dawibia numeite nuamin diang khading.
ashkenaz	gomer	gomer | ararat | against | sons	A1	Gomer’ tapate: Ashkenaz, Rifath, leh Togarmah ahi hi.
ashnah	ashnah	ashnah | jiphtah | nezib | valley	A1	Tua ciangin lei niamna lamah Eshtaol, Zorah, Ashnah,
ashtaroth	sihon	sihon | kingdom | ashtaroth | again	A1	Tua ahih ciangin Israel-te in Baal-te leh Ashtaroth koihkhia-in {
ashtarothah	jordan	jordan | king | did | two	A1	
ashteroth	zuzims	zuzims | smote | rephaims | ashteroth	A1	A kum sawmlelina ciangin Khedorlaomer leh amah tawh
ashur	tekoa	tekoa | wasted | kittim | over	A1	Tekoa khuapi a sat Ashur in zi nih
