zolai	english	translations	cefr	example
tonglet	To translate one language to another language	To translate one language to another language | An act of translating one language to another language A handbook for a particular language A dictionary	C2	
tongs	(n) taiteh	(n) taiteh	C2	Ak-sa kan nading tongs zanglo
tongue	(n) lei, kampau, pau	(n) lei, kampau, pau	C2	Amaun a lei (tongue) langkhia hi.
tongue
debt	lei	lei	C2	
tongue-lash	naakpi-a taai naakpi-a kithuhilh, tongue-lash	naakpi-a taai naakpi-a kithuhilh | tongue-lash | v. naakpi-a taai; naakpi-a kithuhilh.	C2	
tongue-tie	n. pau kician lo mi., pau kician lo mi	n. pau kician lo mi. | pau kician lo mi | tongue-tie | kician lo mi	C2	
tongue-tied	(adj): tiong thei lo mi; tong thei lo ko-ih ningzak mi.	(adj): tiong thei lo mi; tong thei lo ko-ih ningzak mi.	C2	
tongue-twister	tongue-twister, lawh khiat ding-pau khiat ding ahaksa kammal	tongue-twister | lawh khiat ding-pau khiat ding ahaksa kammal	C2	
tongues	tongues	tongues | Pautuam. Tedim Laisiangtho tei masate in kamtuam ci a, khialhna hi in, a taktak pen pautuam hi. Sawltakte hun leh Pentecost hun a kizang pau pen mihingte in amau pau bangin za ahih manin a kithei thei pau nam khat hi. A kithei theilo pau hileh a khiatna kigen theilo dinga, mite kha nuntakna ah thupha piangsak lo ding hi. Zomite in ‘kamtuam’ i cih ciangin ahi bualbual dingin kingaihsunpah a, pautuam kici leh mihingte pau tawh kibang leh kihuang ahihna kithei dinga, khialhna tawm zawdeuh ding hi. Kamtuam cih ding hilo in pautuam hizaw hi. Hih thu ah Tuiphumte leh Pentecostalte kilamdang hi. | Tongues	C2	book of a Thousand Tongues
tonic	(n) thapetu; thacahnak sii.	(n) thapetu; thacahnak sii.	C2	Gin leh tonic ka deih hi.
tonin	clay	clay | seal | stand | garment	C2	Khuavak in mualleguamte kilangkhia sak
tonkiik
tawkik
nungtolh	draw back 	draw back 	C2	
tonkik	resilience	resilience	C2	Ka lungsim ngaihsutna a tam mahmah ciangin kei na hong hehnem
tonkik
kinungtolh	pull in one’s horn	pull in one’s horn	C2	
tonnage	(n.): သင်္ဘောကုန်တင်တန်ချိန်။	(n.): သင်္ဘောကုန်တင်တန်ချိန်။	C2	
tonne	tonne, Metric unit ah agihtehna 1000kg = 2204.6 lb	tonne | Metric unit ah agihtehna 1000kg = 2204.6 lb	C2	Ngasa tonne 1,700 khawng si dingin ki-uapmawh hi.
tonpihlo	david	david | ahimelech | meeting | why	C2	kuamah hong tonpihlo na hi hiam?” a ci hi.
tonsakkik	saying	saying | against | put | forth	C2	Bethel-a biakna tau langpangin Pasian' mipa' thugenna kumpipa in
tonsil	(n) leibul, dang, leizung	(n) leibul, dang, leizung	C2	Tonsil atna pen olno mahmah hi.
tonsilitis	(n.): ပသိရောင်ခြင်း။	(n.): ပသိရောင်ခြင်း။	C2	
tonsillectomy	tonsil aatkhiatna, n. tonsil aatkhiatna.	tonsil aatkhiatna | n. tonsil aatkhiatna. | tonsillectomy	C2	
tonsillitis	(n.): ပသိရောင်ခြင်း။	(n.): ပသိရောင်ခြင်း။	C2	
tonsorial	tonsorial, sam met nasem tawh kisai	tonsorial | sam met nasem tawh kisai	C2	
tonsure	(n) biaknak thu ruangih samtan awknak.	(n) biaknak thu ruangih samtan awknak.	C2	
tontantan	cower		C2	
too	(adv) lua, seem, tamlua, seemte	(adv) lua, seem, tamlua, seemte	C2	Tom brought a dictionary, too.
took	pt of take, take	pt of take | take	C2	Sami took cover behind his car.
tool	(n) sikvan (temta, singaatnaam, hei, tupeek, sek, teh, etc)	(n) sikvan (temta, singaatnaam, hei, tupeek, sek, teh, etc)	C2	Recommended use online tool compress optimized
tool-box	vanzat bung, tool-box	vanzat bung | tool-box | n. vanzat bung.	C2	
tool-room	v. vanzatte koihna inndei., vanzatte koihna inndei	v. vanzatte koihna inndei. | vanzatte koihna inndei | tool-room	C2	
tool-shed	vanzaate koihna inndei, n. vanzaate koihna inndei.	vanzaate koihna inndei | n. vanzaate koihna inndei. | tool-shed	C2	
toolbox	(n.): vanzat bung	(n.): vanzat bung	C2	Toolbox ah spanner khat a kisam lai hi.
toona	intimidation		C2	
toot	hawn-phit-peengkul mut ging	v. phiit tum; saauvei lo sung phiit muut pak, phiit muut zal. | hawn-phit-peengkul mut ging | toot | phiit tum saauvei lo sung phiit muut pak phiit muut zal	C2	
tooth	(n) hatu, hatu mal khat	(n) hatu, hatu mal khat	C2	Saniap in ha (tooth) bangzah nei hiam?
tooth-ache	(n): no tlo.	(n): no tlo.	C2	
tooth-brush	(n): no puek cung.	(n): no puek cung.	C2	
tooth-paste	(n): no puek si.	(n): no puek si.	C2	
tooth-some	tooth-some, lim an lim neek theih	tooth-some | lim an lim neek theih | adj. lim, an lim; neek theih;	C2	
toothache	(n): ha na, ha tam.	(n): ha na, ha tam.	C2	The most common diseases were malaria
toothbrush	(n): ha rawtnak hmul.	(n): ha rawtnak hmul.	C2	Rhode Island Province sungah nipini a toothbrush zuak phal hi lo hi.
toothpaste	(n): ha rawtnak sii (ha thuahnak si)	(n): ha rawtnak sii (ha thuahnak si)	C2	Toothpaste bawm khat kum khat kicing hi.
toothsome	(adj.): lim, an lim; neek theih	(adj.): lim, an lim; neek theih	C2	
toothy	adj. ha kidawk., kidawk	adj. ha kidawk. | kidawk | ha kidawk | toothy	C2	
tootle	tootle, sawtpi sung phiit muut	tootle | sawtpi sung phiit muut | v. sawtpi sung phiit muut. | (tamngai cihte) ahi ngeu ngeu in muut hi	C2	
top
peak
crest
tiptop	dawn (ziahziah)	dawn (ziahziah)	C2	
top-knot	aakmul, vasamul tawh kibawl lukhu daana kikhu thei pen	aakmul, vasamul tawh kibawl lukhu daana kikhu thei pen | aakmul vasamul tawh kibawl lukhu daana kikhu thei pen | n. aakmul, vasamul tawh kibawl lukhu daana kikhu thei pen. | top-knot	C2	
top-secret	kumpite kumpi ki-ukna vaai leh gaalkaap vaai-a thusim lian pena a tuat uh thusim	kumpite kumpi ki-ukna vaai leh gaalkaap vaai-a thusim lian pena a tuat uh thusim | adj. kumpite kumpi ki-ukna vaai leh gaalkaap vaai-a thusim lian pena a tuat uh thusim. | asang pen thu ipsim ahi | top-secret	C2	
top-soil	ii a tungtham, n. lei ii a tungtham; leihoih omna lei tham.	ii a tungtham | n. lei ii a tungtham; leihoih omna lei tham. | top-soil | leihoih omna lei tham	C2	
top-up	top-up, dim hi	top-up | dim hi	C2	
topa
ukpi
makaaipi	lord	lord	C2	
topcoat	(n.) angkileng cung i i hruk chihmi angki fual	(n.) angkileng cung i i hruk chihmi angki fual	C2	
tope	v. zu tampi dawn pahpah., tope	v. zu tampi dawn pahpah. | tope | zu tampi dawn pahpah | khum dawn a zuma kibawl Buddhate biakinn, biakinn dawn zum	C2	
topee	lokhote lukhu	lokhote lukhu	C2	
topee
topi	topee topi	topee topi	C2	
toper	zukham mi, n. zukham mi.	zukham mi | n. zukham mi. | toper	C2	
topiary	topiary, singkung tawh limbawl pilsiamna tawh kisai	topiary | singkung tawh limbawl pilsiamna tawh kisai	C2	Tua topiary sunga guta u-at na mu lo pen ka
topic	(n) thupi, thuseh, thu bulpi athu lu	(n) thupi, thuseh, thu bulpi athu lu	C2	Hih thulu (topic) ka lunglut mahmah hi.
topknot	(n.): အမောက်။ မိန်းမချောဦးခေါင်းထက်ွင်အလှပန်သည့်ဖဲကြိုး။	(n.): အမောက်။ မိန်းမချောဦးခေါင်းထက်ွင်အလှပန်သည့်ဖဲကြိုး။	C2	
topmast	(n.): သင်္ဘောဒုတိယအမြင့်ဆုံးရွက်တိုင်။	(n.): သင်္ဘောဒုတိယအမြင့်ဆုံးရွက်တိုင်။	C2	
topmost	(adj) a saang bik mi; a tlunta bik.	(adj) a saang bik mi; a tlunta bik.	C2	19m at the topmost point
topograph	topography	topography	C2	
topography	(a) agam alei omzia, gamlim sunga a mual aguam paizia lahna	(a) agam alei omzia, gamlim sunga a mual aguam paizia lahna	C2	The Northeastern highlands are geographically and culturally positioned within Zomia topography.
topper	asau nailpuan lukhu	n. a saangpen ngah mi; kidemna khatpeuha a saangpen mi. | asau nailpuan lukhu | top | kidemna khatpeuha a saangpen mi	C2	Keima upna ah Previous ah deidanna om loin maantakin hong
topping	atung kituam akizem moh(an), topping	atung kituam akizem moh(an) | topping | ahoih pen nam ahi | top	C2	Na deih pen pizza topping bang ahia?
topple	(v) tlunlam rit tuk ruangih tlu; tluuk.	(v) tlunlam rit tuk ruangih tlu; tluuk.	C2	
tops	Adonai	Adonai	C2	Tuni Lungdamna Laisiangtho (Lk 4:38-44) na bulphuhin Rev. Fr. Raphael
topsoil	(n.): lei ii a tungtham; leihoih omna lei tham	(n.): lei ii a tungtham; leihoih omna lei tham	C2	
topsy-turvy	(adj) lu le taw alet-aw theh mi; a hnok mi; a linglet theh mi; ling talet.	(adj) lu le taw alet-aw theh mi; a hnok mi; a linglet theh mi; ling talet.	C2	
topsyturvy	(adj.): ပြောင်းဆန်သော။ ကမောက်ကမဖြစ်သော။ ပြောင်းဆန်ရှုပ်ထွေးသော။	(adj.): ပြောင်းဆန်သော။ ကမောက်ကမဖြစ်သော။ ပြောင်းဆန်ရှုပ်ထွေးသော။	C2	
toque	(n): lumuek.	(n): lumuek.	C2	
tor	suang kawldawn, tor	suang kawldawn | tor	C2	Tor pen zat huai hi.
torah	Torah	Thukham. Hih pen Moses gelh bu 5, Piancilna pan Thuhilhkina hi. Thupiak sawmte zong genna hi (Pai.20). Pasian in Moses tungah a piak khempeuh genna zong hi. Pasian in zuih dinga hong piak khempeuh genna zong hi. | Torah | torah	C2	Tua pen Torah khempeuh ahi hi.
torch	(n): meivak, datmei, khuavakna	(n): meivak, datmei, khuavakna	C2	Mi khatpeuh in torch nei em?
torch-wood	taakkung, meilah kung taakkung	taakkung | meilah kung taakkung | torch-wood | meilah kung	C2	
tore	pt of tear, tear	pt of tear | tear	C2	Sami in Layla a ki muangna (ego) a susia (tore down) hi.
toreador	(n.): မြင်းစီး၍နွားသိုးနှင့်တိုက်ခိုက်သူ။	(n.): မြင်းစီး၍နွားသိုးနှင့်တိုက်ခိုက်သူ။	C2	
torii	torii	torii | Japan gam aom Shinto luang koihna innpi lutna kong	C2	
tormentor	bawlsiatna a pe mi, tormentor	bawlsiatna a pe mi | tormentor | gawttu | n. bawlsiatna a pe mi; gawttu.	C2	
torn	(n) tleek; tet.	(n) tleek; tet.	C2	Puan keh (torn clothes) na neih ding leh
tornado	(n) thli her; simpei; phusiing.	(n) thli her; simpei; phusiing.	C2	Tornado in khua a susia hi.
torpedo	(n) tangphawlawng kapnak pukpi; ti-sungih a mahte a feh mi cerek tumpi.	(n) tangphawlawng kapnak pukpi; ti-sungih a mahte a feh mi cerek tumpi.	C2	Torpedo-te kaihkhia dingin kigingsa un.
torpid	(adj.): khulfung/cakvak lo.	(adj.): khulfung/cakvak lo.	C2	
torpor	(n.): ထုံခြင်း။ ထုံထိုင်းခြင်း။ပျင်းရိခြင်း။	(n.): ထုံခြင်း။ ထုံထိုင်းခြင်း။ပျင်းရိခြင်း။	C2	
torque	(n.): ရွှေလည်ဆွဲ။ လိမ်ကျစ်အား။	(n.): ရွှေလည်ဆွဲ။ လိမ်ကျစ်အား။	C2	Tua ahih manin torque limiter dingin shear splint i zang hi.
torques	ganhingte leh pasalte ngawnga mul	ganhingte leh pasalte ngawnga mul | ganhingte leh pasalte ngawnga mul meel tuam pua-a om multe | n. ganhingte leh pasalte ngawnga mul; meel tuam pua-a om multe. | meel tuam pua-a om multe	C2	
torrent	(n) tui ha, tuiluang, atuizang kikhawhna, ahatna	(n) tui ha, tuiluang, atuizang kikhawhna, ahatna	C2	
torrential	tam a cih-a tam guah bang	hawktui luan banga luang tam a cih-a tam guah bang | tam a cih-a tam guah bang | adj. hawktui luan banga luang; tam a cih-a tam guah bang. | torrential	C2	
torrid	(a) gamlumna, leipum akimlai zanga git tang kiim	(a) gamlumna, leipum akimlai zanga git tang kiim	C2	In the​​ v alley the​​ climate is not torrid; its
torsion	(n.): လိမ်ခြင်း။ ကျစ်လိမ်ခြင်း။	(n.): လိမ်ခြင်း။ ကျစ်လိမ်ခြင်း။	C2	A suspension ah torsion bar-te zang hi.
torso	(n) alu le cawnbaan tel lo milem, mi zuk.	(n) alu le cawnbaan tel lo milem, mi zuk.	C2	Sami was shot seven times in his torso.
tort	(n.): သူတစ်ပါးအားထိခိုက်နာကျင်စေသော အမှု။ အကျိုးပျက်စီးခြငး်။	(n.): သူတစ်ပါးအားထိခိုက်နာကျင်စေသော အမှု။ အကျိုးပျက်စီးခြငး်။	C2	Molh (tort) na huan thei kei leh mohl-bawl na hi kei hi.
tortilla	(n.): ပြောင်းမုံညက်ဖြင့်လုပ်သည့်ပြားချပ်သောမုန့်ဝိုင်း။	(n.): ပြောင်းမုံညက်ဖြင့်လုပ်သည့်ပြားချပ်သောမုန့်ဝိုင်း။	C2	Hih tortilla chips-te uap ta hi.
tortious	(adj.): ဆိုးသော။ ဆိုးညစ်သော။ ထိခိုက်နစ်နာစေသော။	(adj.): ဆိုးသော။ ဆိုးညစ်သော။ ထိခိုက်နစ်နာစေသော။	C2	
tortoise	(n) cumkheng.	(n) cumkheng.	C2	Sa-ne tawpku (tortoise) om cih na thei hiam?
tortoise
turtle	sumkuang	sumkuang	C2	
tortoiseshell	(n.) chungkuh phaw	(n.) chungkuh phaw	C2	
tortuous	(adj.): ကွေ့ကောက်သော။ ကွဲပြားစွာကောက်ကွေ့သော။ လိမ်လည်သော။	(adj.): ကွေ့ကောက်သော။ ကွဲပြားစွာကောက်ကွေ့သော။ လိမ်လည်သော။	C2	
torture	(n) gawtna, bawlsiatna	(n) gawtna, bawlsiatna	C2	Bawlsiatna​​ (torture= bawlsiatna ci’n kizang hi
tortuse	(adj.): ကွေ့ကောက်သော။ ကွဲပြားစွာကောက်ကွေ့သော။ လိမ်လည်သော။	(adj.): ကွေ့ကောက်သော။ ကွဲပြားစွာကောက်ကွေ့သော။ လိမ်လည်သော။	C2	
torupe	toruper	toruper	C2	
toruper	torupe	pawi lah akihel mi sepkhoppih tungah cihtakna neimi | torupe	C2	
tory	Tory, conservative patilut mi	Tory | conservative patilut mi | tory	C2	Keir Starmer pen Tory mi ahi.
tose	kera tose	kera tose	C2	
tosh	amawk na khiatna a neih loh na, tosh	amawk na khiatna a neih loh na | tosh	C2	
toss	(v) tlunvaanah khirh; a riil; niamthul saangthul-in a um.	(v) tlunvaanah khirh; a riil; niamthul saangthul-in a um.	C2	Tom in toss zawh hi.
tosspot	zukham mi, n. zukham mi.	zukham mi | n. zukham mi. | tosspot	C2	
tossup	(n.): sing နှစ်ခုအနက်တစ်ခုခု။ နှစ်ဦးအနက် တစ်ဦးဦး။ Both players are equally good so it's an absolute toss-up who will win.	(n.): sing နှစ်ခုအနက်တစ်ခုခု။ နှစ်ဦးအနက် တစ်ဦးဦး။ Both players are equally good so it's an absolute toss-up who will win.	C2	
tosukin	though	though | thence | dig | hell	C2	vantungah a kahtoh uh hangin zong
totai	thou	thou | what | hast | done	C2	totai kawikawi kalaoh huk na bang tazen hi.
total	(n) avekpi, agawmna, apumpi	(n) avekpi, agawmna, apumpi	C2	By number of total speakers
totalitarian	(adj.) party khat bek ukna kumpi gam, party dang om phal lohna kumpi gam	(adj.) party khat bek ukna kumpi gam, party dang om phal lohna kumpi gam	C2	
totality	(n.): a vek-a gawm khopna	(n.): a vek-a gawm khopna	C2	
totalizator	totalizator	sakol kidemna ah sakol tuamtuam ading kikhapna le asum a lak set | totalizator	C2	
totally	(adv) avekpi in, a pumpi in	(adv) avekpi in, a pumpi in	C2	Decide not to be totally alone from other people
totawm	cisterns	cisterns | living | waters | hewed	C2	a tuikhuk tawh uh keu-in, tui a vung thei kei hi.
totding	crying	crying | wilderness | make | straight	C2	“Kamsang Isaiah in a na gen mah bangin
totem	(n) an thawhkehnak a si ti-ih ruah mi ramsa, a si lo le thing le lung vek; khuazing; cu mi zuk.	(n) an thawhkehnak a si ti-ih ruah mi ramsa, a si lo le thing le lung vek; khuazing; cu mi zuk.	C2	Na totem ganhing bang hiam?
totempole	n. ganhing/vanzat siangtho-a kingaihsunte lim kibawlna suang/singtawn. singgil tunga lim kisuai/kikhuakte.	n. ganhing/vanzat siangtho-a kingaihsunte lim kibawlna suang/singtawn. singgil tunga lim kisuai/kikhuakte. | ganhing/vanzat siangtho-a kingaihsunte lim kibawlna suang/singtawn | totempole | ganhing/vanzat siangtho-a kingaihsunte lim kibawlna suang/singtawn singgil tunga lim kisuai/kikhuakte	C2	
totna
paikhiatna
kihepkhiatna	move	move	C2	
totter	(v.): တုန်ရီယိမ်းယိုင်သည်။ တုန်ချိယိမ်းယိုင်စွာလျှောက်သည်။	(v.): တုန်ရီယိမ်းယိုင်သည်။ တုန်ချိယိမ်းယိုင်စွာလျှောက်သည်။	C2	Naupang hi kik leng teeter-totter tungah kimawl thei ding ka
totum	(n.): (aslo; teetotum) လက်နှင့်လှည့်သော ကလေးကစားစရာဂျင်မျိုး။	(n.): (aslo; teetotum) လက်နှင့်လှည့်သော ကလေးကစားစရာဂျင်မျိုး။	C2	
toucan	(n.): vaphual bang pian vasa nam khat	(n.): vaphual bang pian vasa nam khat	C2	Toucan-te pen gamlum lama vasa-te ahi hi.
touch	(v) khawih, lawng, matkha sukha	(v) khawih, lawng, matkha sukha	C2	Touch Bar with Touch ID Sensor
touch-stone	n. suangtaat; tem taatna suang., suangtaat tem taatna suang	n. suangtaat; tem taatna suang. | suangtaat tem taatna suang | touch-stone | suangtaat	C2	
touchdown	vanleng tuahsuk na, touchdown	vanleng tuahsuk na | touchdown	C2	Tom in touchdown khat ngah hi.
touched	(adj.): lungsim lawng kha	(adj.): lungsim lawng kha	C2	Zomi believe that a meal that is touched by a spirit decays.
touching	(adj) zaangfahza; thinpemza.	(adj) zaangfahza; thinpemza.	C2	Is touching or petting safe
touchy	(adj) thinheng ol mi; ning nat ol mi.	(adj) thinheng ol mi; ning nat ol mi.	C2	
tough	(a) duai, uai; duai penpan	(a) duai, uai; duai penpan	C2	English pau "eat" le "tough" cih bang a mawi kei.
toupee	(n.): ဦးစွန်းဖုတ်။ ဆံပုံ။အတုလုပ်ထားသည့်ဆံပင်ခွေ။	(n.): ဦးစွန်းဖုတ်။ ဆံပုံ။အတုလုပ်ထားသည့်ဆံပင်ခွေ။	C2	
toupet	(n.): ဦးစွန်းဖုတ်။ ဆံပုံ။အတုလုပ်ထားသည့်ဆံပင်ခွေ။	(n.): ဦးစွန်းဖုတ်။ ဆံပုံ။အတုလုပ်ထားသည့်ဆံပင်ခွေ။	C2	
tour	(v) zin, thu khatpeuh hanga khualzin; (n) zinna	(v) zin, thu khatpeuh hanga khualzin; (n) zinna	C2	Tom tour pai ding hi.
touring	khualzinna-apai tawh kisai, tour	khualzinna-apai tawh kisai | tour | touring	C2	REMARKSBY TOURING OFFICERS Circle No.
tourney	sakol tungtuang kawm kidawtna pawi, tourney	sakol tungtuang kawm kidawtna pawi | tourney	C2	
tourniqu	n	n | et n. meima tuamna; sisan luan nading khaamna-a meima tuamna.	C2	
tourniquet	(n.): ခွဲစိတ်ကုသရာတွင်သွေးအထွက်တားဆီးနိုင်ရန်စည်းပေးသည့်ကိရိယာ။ သွေးတိတ်ရန်ကျပ်စည်းပေးခြင်း။	(n.): ခွဲစိတ်ကုသရာတွင်သွေးအထွက်တားဆီးနိုင်ရန်စည်းပေးသည့်ကိရိယာ။ သွေးတိတ်ရန်ကျပ်စည်းပေးခြင်း။	C2	
tousle	(v.t): (usu passive) ဖိုးရိုးဖားရားထားသည်။ ဆံပင်ကို ဖွသည်။	(v.t): (usu passive) ဖိုးရိုးဖားရားထားသည်။ ဆံပင်ကို ဖွသည်။	C2	
tousled	tousled, sam a phiah nengnang	tousled | sam a phiah nengnang	C2	
tout	(v.): စောင့်ကြည်သည်။ လှည့်၍အရူးလုပ်သည်။	(v.): စောင့်ကြည်သည်။ လှည့်၍အရူးလုပ်သည်။	C2	
touture	(n.): အလွန်ပြင်းထန်သည့်နာကျင်မှုဝေဒနာ။ စိတ်ဒုက္ခဝေဒနာ။ နှိပ်စက်ညင်းပန်ခြငး်။ ,	(n.): အလွန်ပြင်းထန်သည့်နာကျင်မှုဝေဒနာ။ စိတ်ဒုက္ခဝေဒနာ။ နှိပ်စက်ညင်းပန်ခြငး်။ ,	C2	
tow	(v) hri thawn diir; cai.	(v) hri thawn diir; cai.	C2	Tom in tow truck khat hek hi.
towage	towage, kaaikhia pawkhia sawnkhia heemkhia	towage | kaaikhia pawkhia sawnkhia heemkhia	C2	
toward	(adv) lamah	(adv) lamah	C2	Tom looked toward the horizon.
towards	(prep) lamah; zawn lamah; zikte; nakah.	(prep) lamah; zawn lamah; zikte; nakah.	C2	com/zomite-aading-muhtheih-kipumkhatna-towards-visible-unity-for-zo-people-agelh-suang-khen-pau/", "depth": 0, "zolai_score": 0.
towel	(n) kinulna, kinuÂ’na puan	(n) kinulna, kinuÂ’na puan	C2	Towel cu ahawng nawi a.
towelette	leh maai nuul khit cianga paihtheih ding maainuul	n. khut leh maai nuul khit cianga paihtheih ding maainuul. | leh maai nuul khit cianga paihtheih ding maainuul | khut leh maai nuul khit cianga paihtheih ding maainuul | towelette	C2	
towelling	towel, tui kawt nulna puan	towel | tui kawt nulna puan	C2	
tower	(n) inn sangpi, kulh pi, kulhsangpi	(n) inn sangpi, kulh pi, kulhsangpi	C2	Tower Bridge koi-ah om hiam?
towering	(adj.): saang mahmah	(adj.): saang mahmah	C2	
towery	taausaang banga saang, adj. taausaang banga saang.	taausaang banga saang | adj. taausaang banga saang. | towery	C2	
towkay	nasep akhangto Sen mihau, towkay	nasep akhangto Sen mihau | towkay	C2	
towline	(n.): hepkhiat, kaihkhiatna khaau	(n.): hepkhiat, kaihkhiatna khaau	C2	
town	(n) khuapi, vaihawm mang khat a om theihna khua, inn a tam leh a tawm tawh kisai hilo a thu khen mang leh zato mang a kikawih tehihna khua ciangciang khua peuh mah khuapi ahi hi	(n) khuapi, vaihawm mang khat a om theihna khua, inn a tam leh a tawm tawh kisai hilo a thu khen mang leh zato mang a kikawih tehihna khua ciangciang khua peuh mah khuapi ahi hi	C2	Tedim Town Municipal Area boundary.
townee	townee, khuaneu nuntakna a theilo khuapi mi	townee | khuaneu nuntakna a theilo khuapi mi	C2	
towns-man	khuapi sung pana khangkhe mi, n. khuapi sung pana khangkhe mi.	khuapi sung pana khangkhe mi | n. khuapi sung pana khangkhe mi. | towns-man	C2	
townsfolk	(n.): မြို့သူ။ မြို့သား။	(n.): မြို့သူ။ မြို့သား။	C2	T hey are encouraged to enter villages and eat
township	(n) khuapi bial; miohne (kawl); peng.	(n) khuapi bial; miohne (kawl); peng.	C2	Tua huhau in Tamu township….
townsman	(n.): မြို့သား။ တစ်မြို့တည်းသာ။	(n.): မြို့သား။ တစ်မြို့တည်းသာ။	C2	
townspeople	(n.): မြို့သူ။ မြို့သား။	(n.): မြို့သူ။ မြို့သား။	C2	
towpath	towpath	gungei pan in gunkuang pen mitha tawh kikaihna gundung lampi | towpath	C2	
toxaemia	toxaemy, sigu suahna	toxaemy | sigu suahna	C2	
toxaemy	toxaemia	toxaemia	C2	
toxic	(adj) thihnak a si mi; mi a thiter thei mi; tur a nei mi.	(adj) thihnak a si mi; mi a thiter thei mi; tur a nei mi.	C2	Plastic nam pen gu (toxic) ahi hi.
toxicant	toxicant, adj. guu nei; guu tam; guu hau.	toxicant | adj. guu nei; guu tam; guu hau. | nei | guu nei guu tam guu hau	C2	
toxicology	(n.): အဆိပ်အတောက်ဆိုင်ရာအတတ်။ ၄င်းတို့၏ဖြေဆေးဆိုင်ရာအတတ်။	(n.): အဆိပ်အတောက်ဆိုင်ရာအတတ်။ ၄င်းတို့၏ဖြေဆေးဆိုင်ရာအတတ်။	C2	Azun leh asi te Toxicology Tests bawlding in kilakhin
toxin	(n.): guu	(n.): guu	C2	It is female nicotine juice kept in the mouth until
toxine	(n.): အဆိပ်အတောက်။	(n.): အဆိပ်အတောက်။	C2	
toxophilite	kaap a uuk mahmah mi, toxophilite	kaap a uuk mahmah mi | toxophilite | thal kaap a uuk mahmah mi | n. thal kaap a uuk mahmah mi.	C2	
toy	(n) milim, sing kisui ahizongin tungm n kibawl ahizongin milim	(n) milim, sing kisui ahizongin tungm n kibawl ahizongin milim	C2	Sami was Layla's boy toy.
tozaw	out-wear	out-wear	C2	kiniamkhiatzaw mah gual zo in tozaw hi
trace	(v) zongkhia, kankhia sulzuih; (n) khe-khap-paina lampi	(v) zongkhia, kankhia sulzuih; (n) khe-khap-paina lampi	C2	Vum Son trace all the Zomi lineal to Zo.
tracer	tracer	tracer | n. suulnung zuui-a mukhetu, zong khetu, a mang hiam, omna kithei lo khat a zongkhetu. | suulnung zuui-a mukhetu, zong khetu, a mang hiam, omna kithei lo khat a zongkhetu | suulnung zuui-a mukhetu zong khetu a mang hiam omna kithei lo khat a zongkhetu	C2	Positron Emission Tomography in mihing pumpi sungah metabolic
tracery	(n.): ပြူတင်းပေါက်တွင်အကွေ့အကောက်အလှဖော်ပြခြင်း။ ကနုတ်ပန်း။	(n.): ပြူတင်းပေါက်တွင်အကွေ့အကောက်အလှဖော်ပြခြင်း။ ကနုတ်ပန်း။	C2	
trachea	(n.): လေပြွန်။ အဆုတ်သို့ပို့ပေးသောပြွန်။	(n.): လေပြွန်။ အဆုတ်သို့ပို့ပေးသောပြွန်။	C2	
tracheate	gawlgui tawna huih diik, adj. gawlgui tawna huih diik.	gawlgui tawna huih diik | adj. gawlgui tawna huih diik. | tracheate	C2	
tracheitis	n. gawlgui natna., gawlgui natna	n. gawlgui natna. | gawlgui natna | tracheitis	C2	
tracheotomy	n. huihgui aata huih pai nadinga vangdang bawlna., huihgui aata huih pai nadinga vangdang bawlna	n. huihgui aata huih pai nadinga vangdang bawlna. | huihgui aata huih pai nadinga vangdang bawlna | tracheotomy	C2	
trachoma	trachoma, mitkil vunthak natna	trachoma | mitkil vunthak natna	C2	
tracing	(n.): သွားရာလမး်ကြောင်း။	(n.): သွားရာလမး်ကြောင်း။	C2	Atheihhuai le athupi mahmah Contact Tracing leh Quarantine.
tracing-paper	lim kibang teikikna laidal pa, tracing-paper	lim kibang teikikna laidal pa | tracing-paper	C2	
tract	(n) gam kuam khat, gam khen neucik khat	(n) gam kuam khat, gam khen neucik khat	C2	NIV pan ZIV Laisiangtho Tract te: 1.
tractile	(adj.): ဆွဲ့ဆန့်နိုင်သော။ ဆန့်ထွက်နိုင်သော။	(adj.): ဆွဲ့ဆန့်နိုင်သော။ ဆန့်ထွက်နိုင်သော။	C2	
tractor	(n) lokho set	(n) lokho set	C2	Tractor khat ka mu hi.
trade	(n) nasep sum dawn na van bawlna	(n) nasep sum dawn na van bawlna	C2	Fair Trade dawr ah sem hi.
trade-mark	kiciaptehna	kiciaptehna | van bawlte’n amau bawl mah hi cih a kitheih nadinga a ciaptehna uh kiciaptehna | bawlte'n amau bawl mah hi cih a kitheih nadinga a ciaptehna uh | trade-mark	C2	
trade-union	nasemte kipawl na, trade-union	nasemte kipawl na | trade-union	C2	
trademark	(n.): van bawlte'n amau bawl mah hi cih a kitheih nadinga a ciaptehna uh; kiciaptehna	(n.): van bawlte'n amau bawl mah hi cih a kitheih nadinga a ciaptehna uh; kiciaptehna	C2	Bharatpedia® is a registered trademark
tradename	tradename, vanzuak nasep min	tradename | vanzuak nasep min	C2	
tradeoff	(n.): khatlam le khatlam duhmi, duhdan tthum rero; remcannak hawlton.	(n.): khatlam le khatlam duhmi, duhdan tthum rero; remcannak hawlton.	C2	
